COUNTRY,SECVAL,SKEPTICISM,RELATIVISM,DISBELIEF,DEFIANCE,EMVAL,AUTONOMY,EQUALITY,CHOICE,VOICE,happiness,log_gdp,social_support,life_expect,freedom,generosity,corruption,pos_affect,neg_affect,national_gov
Australia,0.3952580578796562,0.3392237461318051,0.309230547277937,0.6698680808022923,0.2627099283667622,0.6354474343839541,0.5652340446991404,0.8183400315186247,0.6936701891117479,0.4645456045845272,7.17699337,10.72413254,0.940137267,73.59999847,0.916028142,0.143235072,0.404647499,0.759018838,0.187456369,0.468836874
Bangladesh,0.23519153970964987,0.35707643979504694,0.3640762894961571,0.13476276601195558,0.0848507122117848,0.30473526985482496,0.42584678138343296,0.38665650555081127,0.1070309487617421,0.2994064901793339,4.499217033,8.263374329,0.705556035,64.30000305,0.90147084,-0.039868109,0.701421201,0.541344702,0.361237794,0.831693113
Brazil,0.34919722215067606,0.4881191229877656,0.34001348486799743,0.30579924211204124,0.2628570965872505,0.46783964777849324,0.32710877591757886,0.6684691043142306,0.39583624404378626,0.4799444430135222,6.190921783,9.56680584,0.881505251,66.40000153,0.75060904,-0.123364955,0.763251305,0.749727845,0.349656254,0.16818665
Chile,0.4534297121212121,0.5544268344155844,0.4548408831168831,0.5374422673160173,0.2670089025974026,0.47392590043290045,0.3961038484848485,0.6071685941558441,0.46152408766233766,0.43090701298701295,6.436220646,10.03774738,0.890084922,69.90000153,0.78853035,-0.064061932,0.816297412,0.832562208,0.275820225,0.334744155
Colombia,0.33768832828947365,0.6036995282894737,0.32105257828947364,0.306217222368421,0.11978401184210526,0.4264555532894737,0.32872800986842104,0.6317236335526316,0.30075528749999997,0.44461513157894733,5.983512402,9.497987747,0.870970428,67.69999695,0.850765765,-0.15052399,0.854820907,0.825455189,0.300624102,0.274869502
Ecuador,0.32326075492716366,0.49293519965724086,0.4287166109682948,0.2939452836332477,0.07744598886032562,0.38568167780634105,0.26249637275064264,0.599698440445587,0.27999930848329047,0.4005324764353042,6.128010273,9.250733376,0.851345003,68.5,0.869363725,-0.099192053,0.830743194,0.876474917,0.328171045,0.402085185
Germany,0.3841515704371964,0.3760376023594726,0.24639136710617626,0.6044685634975712,0.3097088230395559,0.6796517494795281,0.6090678806384455,0.8008387883414295,0.657087531575295,0.6516129909784872,7.118364334,10.73551273,0.919763148,72.19999695,0.8768875,0.035551026,0.495673954,0.780280411,0.243214577,0.592990577
Indonesia,0.2509451076148521,0.3073599417872876,0.3745524238514789,0.11219982284455632,0.20966826620516046,0.33371863089993703,0.43979445028319697,0.388726477658905,0.1067248432976715,0.3996284770295783,5.340295792,9.359265327,0.809378862,62.09999847,0.879374385,0.502897859,0.867729425,0.863717854,0.295986801,0.837602735
Iraq,0.34110651206896553,0.44091065603448276,0.5439655068965518,0.2707019267241379,0.10884800344827586,0.2633908051724138,0.23045968534482758,0.36649118793103447,0.2193708077586207,0.2372413793103448,5.099589825,9.652755737,0.793673038,60.20000076,0.643226683,-0.103620291,0.886389852,0.659687817,0.466499865,0.340682983
Kazakhstan,0.3799234089184061,0.35579371157495254,0.5595085303605313,0.3434094165085389,0.26098192599620496,0.3783379886148007,0.43738140417457305,0.4821589990512334,0.27945378368121443,0.3143577039848197,6.00763607,10.1161108,0.936656713,64.59999847,0.84018296,-0.104368672,0.82378298,0.69319874,0.161542282,0.615031958
